username,bintang,review
v*****q,5,Produkkkkk sangatttt bagusss dan harganyaaa jugaa murahhh👍
ikasantikaa27,5,"Pengiriman cepet banget tgl 12.12 pesen 14 nyampe dan sesuai yg dipesan, belum dicoba tapi semoga awetttt"
kahaya110903,5,"alhamdulillah paket telah sampai, pengirimannya sangat cepat. barangnya sesuai. terimakasih 🤍"
zydann,5,"Produk nya bagus banget.
Real pict
Buat ngecas juga awet.
Cocok buat yg suka traveling.
Harus pake pb ini.
Supaya gak mati gaya kehabisan baterai"
b*****y,5,"Bagus kok,harganya terjangkau. Semoga awet deh yaa"
k*****4,5,Barang sudah sampai dengan aman tanpa rusak... Semoga awet dan berguna... Terima kasih terima kasih terima kasih terima kasih.
nurfitriaaaaaaaaaaaaaaa_,5,maaf yaa video dan fotonya tidak sesuaii tapi barangnya bagus bgt kokk langsung dibawa ke kampung sama saudara hehe makasihhhhh kak
i*****2,5,"Barang bagus, berfungsi dengan baik, recomended buat toko ini"
psubektips,5,Lagi coba di charger  cepet banget original nanti mau di coba bener ngga 10rb mAh hehehr
adeirm4,5,Proses pngirimn cepat sekali... smoga barangx awet..  ukurannya cukup besar dan berat sehingga sulit untuk membawa kemana mana
hanakimirai,5,Sudah beberapa kali beli merek robot. Memang bagus…………… jadi ga perlu di ragukan
adindaputri_.,5,"Terima kasih banhak robot, langganan banget disini hehe♡♡♡"
sylviaaamr,5,"produk robot oke, udah di cahrge jugaaa tp belum dipake sihhhh"
andreas_fgv,5,"SELLER super fast response.. Packing super fast and safe.. Barang original punya, kualitas terjamin.. Maaf bukan foto & video barang nya, lgsg diambil sama yg pesan.. Terima kasih SELLER, Shoppe dan Tim Ekspedisi.. Sukses selalu!!"
yulmainiii,5,"Barang cepet sampai, pengiriman rapih, sangat bermanfaat dan awet saat di gunakan, bisa tahan sanpai 2 hari"
anggie_feriescha,5,",, barangg sampaii dengann amann dann cepatt.. Thankyouu kakk.."
depidmynttt,5,baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik
halimah91,5,Pengirimannya lumayan cepat dan mudah2an awet pake power bank nya
febrydian27,5,Sangat bagus .. barang bisa digunakan dengan baik . Terimakasih
n*****5,5,BAGOEZ ZEZUAY PEZANAN BARANK NO KALENK KALENK POKOQ NYE BAGOEZ LACHHH
spicygurl_,5,"Pengiriman cepat,packing aman dan udah dicoba gada kendala sih semoga awet🤗"
liliapriani,5,"Packing super aman, barang original sukses terus sis ......"
d*****2,5,"Sudah diterima bru bgt,smg awet deeh ini
Untuk respon tokonya sangat baik&cpt pengirimannya"
apriliavonny25,5,mantuuuuulllllll baaangggeeeettttt pokoknyaaaa.. sukaa
adinda249,5,"Produk original, kemasan rapi dan aman terbungkus bubble wrap. Gak salah berkali kali beli di robot official store."
m*****l,5,"Pengemasan pengiriman cepet bgt + aman bgt
Belum dicoba semoga berfungsi dg baik dan awet.puas sejauh ini,desain jg cakep."
kentifauziyah,5,"Bagussss,,,, sesuaiiii hargaaaa semogaaaaa awettttt👍👍👍👍👍👍👍"
y*****y,4,"Ty yaa, sudah mendarat dan semoga awet. Kecepatan pengiriman baik"
sariifatussania,5,"Udah ak coba dan masuk, semoga awet dan semoga tahan lama. Terimakasih"
n*****k,5,"Barang sampai dengan selamat, pengemasannya rapih, semoga awet"
arrazzaqstore1,5,"Barang sesuai pesanan,Kuwalitas bagus, original ,pengiriman standart pengiriman di bungkus buble pokoknya rekomendasi untuk beli produk dari robot ....................................."
l*****o,5,"bagus bgt, ada kartu garansi nya juga ya 🥰🥰 anti slip kalo ditangan"
v*****y,5,"pengiriman cepat, barang original dan berfungsi dgn baik"
s*****2,5,Kualitas produk sangat baik.  Produk original.  Harga produk sangat baik .
k*****l,5,Kemasan produk rapih dan aman. Pengiriman cepat. Produk berfungsi dengan baik.
z*****a,5,"Sesuai pesanan.. cakeeeppp... ada kartu garansinya jga.. Thanks kk.. 
PB nya udh ada isi.. tpi tetap aq cas dlu.. moga awet.. 👍👍👍👍👍👍"
d*****l,4,"powerbank nya agak aneh, masa berhenti nge cas tiba2 
di chat jg jawaban nya suka ga nyambung"
s*****a,5,"bagus, semoga powerbanknya awet dan gak capet rusak. thank you!"
andyblank1984,5,Barang sampai tepat waktu ... semoga awet dan berfungsi dgn baik
g8706astrikafialine,5,"Bagus warnanya juga cakep, lumayan berat si tapi smoga aja awet"
j*****r,5,"Barang datang sesuai dengan yang di pesan, pengiriman juga cepat"
marinia27,5,Bagus banget modelnya asli gaada yang cacat pengiriman juga cepet
bundajinan,5,"Orderan lengkap tp blm di coba semua
Mantull pengemasan nya serba plastik, aman dr hujan
Rekomended 👍"
meritaamalia16,5,"Bagus banget, warna lilac uhuyyyyy. Next beli lagi."
a*****l,5,"Pengiriman cepat tapi packing hanya pakai 1 lapis bubble wrap, riskan bila terbanting atau jatuh, barangnya sudah dicoba dan dicharge dan berfungsi, semoga awet"
annnaa_01,5,Bagusss nnri di update klw ada kesalahan karnah masih baru juga
t*****_,5,"Bubble wrap sedikit tipis tp alhamdulillah sampai dengan aman
Semoga awet..."
farisfirdaus14,3,Barang datang dengan baik harga gak tau lah yah terbilang murah atau mahal..untuk kualitas chager nya lama penuh nya
l*****8,4,"Maaf baru bisa kasih penilaian,brang sampai dengan selamat meskipun pengirimannya lama.mungkin ada masalah tapi gpp"
indahnuratika,5,"Kualitas produk yang sangat baik, produk yang sangat original, harga produk yang sangat baik, kecepatan pengiriman yang sangat baik, respon penjual yang sangat baik dan ramah 👍👍👍👍👍"
sutriani73,5,"Alhamdulillah barangnya bagus, model, ukuran, warna, cocok di bawa mobile port USB, C, Micro.... sangat membantu tdk perlu lagi membawa 2 kabel......Semoga awet..."
ajngclrssa,5,"Baguss, awet bgt robot, sayang chargernya masih yg micro :("
b*****7,5,"sampai dengan selamat paketnya , sejauh ini sih masih di charger dulu powerbank nya semoga aja awet"
perni_pramudita,5,"produk sudah diterima dengan baik dan sangat cepat,original"
a*****a,5,alhamdulillah cepet bgt nyampenyaaa!! ternyata seringan ituuuuu soalnya bayanganku berat gitu lohhh. makasih banyak seller!!
d*****i,5,Belum lihat barangnya karna masih diluar kota. Nanti diupdate lagi
m*****5,5,"Barangnya bagus dan tipis juga enak kalo dipegang pas lagi charging.
Saya kira bakalan fast charging ternyata nggak hehe but, so fr so good. Ngebantu banget buat nambahin pas lagi ga full charging.
Thanks seller n kurir"
e*****3,5,"Semoga bagus dan awet pb nya. Pengemasan sama pengiriman nya cepet bangett sukaaa^,"
h*****5,4,Nyampenya cepet bangetttttttttt.....bentuknya bagus semoga awet
nisyaramadhani24,4,Kereeen barang cepat sampai dan sangat sesuai di foto
m*****6,5,"Barang sudah sampai, sesuai pesanan.
Udah pasti original sih..
Thanks ya.."
nanda_agustriana,5,Barangnya mantap . Gak bakalan nyesel deh beli ini . Pokoknya aku suka banget . Terima kasih :)
umi.abdilah,5,"Bagus banget, kemaren sampe masih penuh dan aku udah langsung pake, hari ini masih 1 lampu yang nyala <3"
l*****t,5,Pengiriman rapi dan aman sekali. Semoga awet power bank nya..... 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁
santiaslamiyah,5,Bagus banget Harganya juga murah Ga nyesel beli ini Warnanya juga bagus Berfungsi dengan baik
winafredella,5,"Alhmdllh berfungsi dgn baik,pengiriman standar,semoga awet.Cantik soft warnanya keren.tq seller"
rokhim96,4,"Alhamdulillah cepat sampai , semoga awet . 
Respon seller sangat baik , recomended"
liverpool1892662,5,"bagus banget
pengiriman cepat
gak asa lecet/kerusakan
kurir ramah
kirain udah isi daya 100% ternyata hanya 66% tp gpp lah gk diburu"" bt dipakai"
n*****6,5,"powerbank nya realpict ,bagus banget,dan udah coba buat cas powerbank nya tapi kenapa lampu yang satu nya lagi ga terisi,padahal udah lebih dari 3 jam cas nya"
lanigani27,4,Bagusssasssssssss tidaaaaaakkkkkkkkkkkkkkkkkkk mengecewakannnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn pengirimaaaaaaaaannnnnnnnnnnnnnnn cepaaaaaattttttttttttttttttt kurir ga sopan cara fotonya terimaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa kasiiiiiiiiih
m*****o,5,"Mantebb bangett order power bank disini, udah murah dapat potongan harga 10k pula. Alhamdulillah suka sekali, buat keperluan kuliah 👍👍👍"
r*****a,5,"Kualitas produk baik, pengirkman sangat cepat, peoduk baikk, sampai dengan selamat..."
dwijuniary,5,"Kualitas oke,  produk original,  kecepatan pengiriman agak lama. Harga terjangkauu"
usdhanilawati,5,"Yeayy akhirnya yang ditunggu² dtg juga, alhamdulillah berfungsi dengan baik. Thank you seller"
ameizaa,5,Kualitas peoduk sangat baik. Produk original. Harga produk lumayan baik. Kecepatan pengiriman lama di ekspedisi.
afifahazp,5,bagus bgt top markotop deh semoga awet yaaa sampe bertahun tahun
i*****1,5,"baguuus sekali, barang nya aman bagus terimakasiiih👍👍👍👍👍👍👍"
umikusyairy,5,"Terima kasih atas pelayanannya, semoga power banknya awet"
w*****i,5,"Ada harga ada barang, kualitas bagus terpecaya, ada kartu garansi"
rahmanabila,5,Bagus.. berfungsi dengan baik.. tapi kabelnya bukan type C ya FYI 🙂
s*****9,5,"Berfungsi dengan baikk kualitas okee harga terjangkau, pengiriman cepet, packing aman👌👌 makasih seller💕"
n*****a,5,Baguss dan produk original mantappp.. semoga awet yaaa.. thank youu robot official shop
a*****6,5,"Barangnya sudah sampai di rumah dan amannn...
Belum dicoba karna harus d cas dlu...."
abdul.hakim86,5,"Barangnya bagus , mantap , sesuai pesanan warna hijau . Buka langsung dicarger ampe full 👍
Buat kurirnya tetap semangat  , antar paket sampe berkali2 bolak balik cari alamat pelanggan"
boostenk.illustration,5,bagusssss keren bgt!!!!! makasii sellerrrrrr!!!!!!!!!!!
marwahzhakiah,5,"Power bank nya masuk
ada kartu garansi juga 
Packaging nya juga mantapp
semoga awet😍😍😍"
outfitruma28,5,Original. Lengkap ada kartu garansinya juga. Sesuai dengan gambar bagus. Semoga awet seterusnya ga knpa2. Thanks seller
k*****0,5,Barang nya bagus. Pengiriman nya juga cepat sampai ke tujuan
k*****7,5,"powerbank ny baguss, berat ny lumayan, syukurlah nggk ad cacat ny, thanks seller"
lilismaryanah83,5,"barang y bagus semoga awet.y 
datang y jg cepet mksh y shopee 
semua y lengkap
mksh seller"
nindanisaa,5,"Udah dateng tapi belom dicoba. So far so good, naksir beli karena warnanya cakep. Katanya sih merk robot awet semoga beneran awet. Mau dipake buat vacation ke luar pulau soalnya."
f*****y,5,"Kualitas sangat baik, warna baguss, kecepatan kirim baikk"
r*****6,5,"Barang ok kualitas mantap.. Cuman pengiriman lama beud kayak nunggu jodoh ngga datang"""
lexcarlos,5,"Barang sesuey dengan deskripsi,saya sangat suka sekali sama modelnya.
Trima kasih gan.
Semoga barangnya awet"
y*****m,5,"Barang dijamin original, langsung bisa digunakan Alhamdulillah makasih ya"
j*****n,5,Bagus bangettt power bank nya thank youu jaisjaiajanahzuzhabbshzbzhshbshauahabahababauahabahhabzbzbzhhsbahahhahaha
bbifloweri_,5,"warnanya cakeppp bangett gaboong, pengirimannya jg cepat 🤩"
k*****p,5,"Produk bagus dan berfungsi dengan baik, pengiriman cepat dan aman."
febriharypepenk,5,Sampai dengan selamat Alhamdulillah pengiriman nya cepat lebih cepat dari si cepat
